path,top_area,last_modified,signals,recommendation
docs/handover/BYS360_BAKIM_RUNBOOK.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/BYS360_CANLIYA_ALMA_REHBERI.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/BYS360_DEVIR_PAKETI_V1.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/BYS360_GUVENLIK_KVKK_NOTLARI.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/BYS360_KURULUM_REHBERI.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/BYS360_MODUL_ENVANTERI.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/BYS360_RISK_VE_SUREKLILIK_PLANI.md,handover,2026-07-08,"scripts,tests,other-doc-link",KEEP
docs/handover/README.md,handover,2026-07-08,"core-docs,scripts,tests,other-doc-link",KEEP
docs/quality/BYS360_UX1_TOP_BANNER_REMOVE_V1.md,quality,2026-07-08,tests,KEEP
docs/BYS360_AI_EVERYWHERE_V1_INCELEME_NOTU.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_AI_EVERYWHERE_V1_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_ANDROID_RESPONSIVE_COMPLETION_V2_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_AUTO_MAIL_WEEKDAY_ONLY_V1_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_LIVE_FINAL_RELEASE_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_LIVE_FINAL_RELEASE_RESUME_V2_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_LIVE_FINAL_RELEASE_RESUME_V3_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_LIVE_FINAL_RELEASE_RESUME_V4_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_LIVE_FINAL_RELEASE_RESUME_V5_DIRECT_STABLE_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V3_0_MAIL_ENGINE_SYSTEM_SENDER_V1.md,(root),2026-07-08,"scripts,other-doc-link",REVIEW
docs/BYS360_CIC_V3_0_MAIL_ENGINE_SYSTEM_SENDER_V1_1.md,(root),2026-07-08,"scripts,other-doc-link",REVIEW
docs/BYS360_CIC_V3_0_SYSTEM_AUTO_MAIL_SCHEDULER_V1_NOTES.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_0A_MENU_TAB_FIX_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_0_SMART_CELEBRATIONS_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_3_FULL_PRO_UI_SIDEBAR_ACTIVE_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_4A_SYSTEM_LINK_POLISH_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_4B_SYSTEM_PAGE_FINAL_POLISH_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_4_PERFORMANCE_STYLE_RESET_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_5A_CELEBRATION_EXCEL_IMPORT_LOCK_FIX_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_5_CELEBRATION_EXCEL_IMPORT_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_6A_JINJA_SLICE_FIX_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_6B_CELEBRATIONS_TEMPLATE_FINAL_FIX_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CIC_V4_6_CELEBRATIONS_STUDIO_PRO_UI_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE3_DISPATCH_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE5_1_GATE_FIX_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE5_CONTROL_PANEL_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE6_1_STAFF_NOON_MESSAGE.md,(root),2026-07-08,"scripts,other-doc-link",REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE6_FINAL_UAT_LIVE_READY_README.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE6_UAT_LIVE_READY_REPORT.md,(root),2026-07-08,other-doc-link,REVIEW
docs/BYS360_CORPORATE_INFORMATION_CENTER_V3_0_PHASE7_1_BASE_CSS_LINK_FIX.md,(root),2026-07-08,"scripts,other-doc-link",REVIEW
