
Path                                                                                                    LineNumber Line       
----                                                                                                    ---------- ----       
C:\bys360\project\tests\test_claude_phase5_smoke_routes.py                                                      42     pyte...
C:\bys360\project\tests\test_sp_routes_smoke.py                                                                 37     pyte...
C:\bys360\project\tests\architecture\conftest.py                                                                26     retu...
C:\bys360\project\tests\architecture\conftest.py                                                                37         ...
C:\bys360\project\tests\architecture\conftest.py                                                                39         ...
C:\bys360\project\tests\architecture\test_android_responsive_visual_regression_evidence_suite_p6b.py            14         ...
C:\bys360\project\tests\architecture\test_android_responsive_visual_regression_evidence_suite_p6b_v2.py         14         ...
C:\bys360\project\tests\architecture\test_architecture_scope_p2e.py                                             14     asse...
C:\bys360\project\tests\critical\test_v59_broad_route_smoke.py                                                  70         ...
C:\bys360\project\tests\critical\test_v59_broad_route_smoke.py                                                  74         ...
C:\bys360\project\tests\integration\test_final_quality_live_backbone_contract.py                                10 pytestma...
C:\bys360\project\tests\integration\test_final_quality_live_backbone_release_contract.py                        10 pytestma...
C:\bys360\project\tests\integration\test_final_quality_live_backbone_sources.py                                 10 pytestma...
C:\bys360\project\tests\integration\test_http_core_smoke.py                                                      7 pytestma...
C:\bys360\project\tests\integration\test_http_db_core_flows.py                                                 126 pytestma...
C:\bys360\project\tests\quality\test_quality9_ci_safe_contract.py                                                8 pytestma...


